DeepCFR6MaxSolver  device=cpu  feature_dim=236  payout_mode=double_up  payouts=[2.0, 2.0, 2.0]
harvest shard games [12500,15000) master_seed=2026
  250/2500 games  4215 hand starts  [96s]
  500/2500 games  8418 hand starts  [185s]
  750/2500 games  12488 hand starts  [274s]
  1000/2500 games  16402 hand starts  [362s]
  1250/2500 games  20404 hand starts  [458s]
  1500/2500 games  24315 hand starts  [554s]
  1750/2500 games  28257 hand starts  [642s]
  2000/2500 games  32335 hand starts  [729s]
  2250/2500 games  36320 hand starts  [830s]
  2500/2500 games  40329 hand starts  [940s]
shard done: 40329 hand starts, tainted=0 [940s]
