DeepCFR6MaxSolver  device=cpu  feature_dim=236  payout_mode=double_up  payouts=[2.0, 2.0, 2.0]
harvest shard games [5000,7500) master_seed=2026
  250/2500 games  3741 hand starts  [85s]
  500/2500 games  7881 hand starts  [174s]
  750/2500 games  11793 hand starts  [254s]
  1000/2500 games  15855 hand starts  [341s]
  1250/2500 games  19950 hand starts  [433s]
  1500/2500 games  23684 hand starts  [521s]
  1750/2500 games  27649 hand starts  [610s]
  2000/2500 games  31669 hand starts  [694s]
  2250/2500 games  35627 hand starts  [779s]
  2500/2500 games  39736 hand starts  [883s]
shard done: 39736 hand starts, tainted=0 [883s]
